0.234,0.567,0.123,0.789
0.456,0.876,0.345,0.012
0.678,0.234,0.901,0.456
0.789,0.123,0.567,0.890
0.345,0.678,0.901,0.234
0.567,0.789,0.012,0.345
0.901,0.234,0.456,0.789
0.123,0.456,0.789,0.012
0.678,0.901,0.234,0.567
0.234,0.789,0.567,0.123
0.456,0.012,0.890,0.345
0.789,0.345,0.123,0.678
0.901,0.567,0.234,0.456
0.012,0.678,0.789,0.901
0.345,0.901,0.456,0.234
0.567,0.123,0.678,0.789
0.789,0.234,0.901,0.012
0.901,0.567,0.012,0.345
0.123,0.456,0.345,0.678
0.234,0.789,0.678,0.901
0.456,0.012,0.789,0.123
0.678,0.345,0.901,0.567
0.789,0.567,0.123,0.234
0.012,0.678,0.234,0.789
0.345,0.901,0.456,0.012
0.567,0.123,0.678,0.345
0.789,0.234,0.901,0.567
0.901,0.567,0.012,0.789
0.123,0.456,0.345,0.901
0.234,0.789,0.678,0.012
0.456,0.012,0.789,0.345
0.678,0.345,0.901,0.567
0.789,0.567,0.123,0.678
0.012,0.678,0.234,0.901
0.345,0.901,0.456,0.012
0.567,0.123,0.678,0.234
0.789,0.234,0.901,0.567
0.901,0.567,0.012,0.789
0.123,0.456,0.345,0.901
0.234,0.789,0.678,0.012
0.456,0.012,0.789,0.345
0.678,0.345,0.901,0.567
0.789,0.567,0.123,0.678
0.012,0.678,0.234,0.901
0.345,0.901,0.456,0.012
